"ISO time"	"unixtime"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"
"2011-09-17T17:04:35"	"1316279075"	"The Hand That Feeds (Battenhouse Mix)"	""	"Nine Inch Nails"	"b7ffd2af-418f-4be2-bdd1-22f8b48613da"	"The Hand That Feeds (Battenhouse Mix)"	""	"Nine Inch Nails"	"b7ffd2af-418f-4be2-bdd1-22f8b48613da"
"2011-09-17T17:14:41"	"1316279681"	"Afraid To See (V6)"	""	"Nine Inch Nails"	"b7ffd2af-418f-4be2-bdd1-22f8b48613da"	"Afraid To See (V6)"	""	"Nine Inch Nails"	"b7ffd2af-418f-4be2-bdd1-22f8b48613da"
"2012-02-19T02:56:36"	"1329620196"	"Forever Man"	"250fbd0e-e53c-4df4-add9-04135850fd65"	"Eric Clapton"	"05c35c95-dcbd-4492-b091-7f05a2091d47"	"Forever Man"	""	"Clapton, Eric"	""
"2012-03-24T20:50:14"	"1332622214"	"Seven Nation Army"	"b49624c9-5a7b-4822-82b9-ce997decbe07"	"The White Stripes"	"11ae9fbb-f3d7-4a47-936f-4c0a04d3b3b5"	"Seven Nation Army"	"b49624c9-5a7b-4822-82b9-ce997decbe07"	"The White Stripes"	"11ae9fbb-f3d7-4a47-936f-4c0a04d3b3b5"
"2012-03-24T20:55:40"	"1332622540"	"Wires"	"49b982a3-2162-4e9b-ba5b-af92ca402ebd"	"Athlete"	"906cbb69-b793-463a-832d-b5bf850f01a2"	"Wires"	"49b982a3-2162-4e9b-ba5b-af92ca402ebd"	"Athlete"	"906cbb69-b793-463a-832d-b5bf850f01a2"
"2012-03-25T16:57:46"	"1332694666"	"NINhurt"	""	"Nine Inch Nails"	"b7ffd2af-418f-4be2-bdd1-22f8b48613da"	"NINhurt"	""	"Nine Inch Nails"	"b7ffd2af-418f-4be2-bdd1-22f8b48613da"
"2012-03-25T17:18:04"	"1332695884"	"Cherub Rock"	"2227521b-cda5-4668-8d8b-7f8ecd4b1a69"	"The Smashing Pumpkins"	"2b42ec56-6785-4ed8-b3cb-190f750111bb"	"Cherub Rock"	""	"Smashing Pumpkins"	""
"2012-03-25T17:18:53"	"1332695933"	"Tell the Truth"	"fc18a37f-e28b-4987-9c79-2b70a97a23e0"	"Derek and the Dominos"	"2155a81a-f0c6-417a-9b16-2f86f98bb8bc"	"Tell the Truth"	"fc18a37f-e28b-4987-9c79-2b70a97a23e0"	"Derek and the Dominos"	"2155a81a-f0c6-417a-9b16-2f86f98bb8bc"
"2012-03-25T17:19:06"	"1332695946"	"Champagne Supernova"	"3aec9038-5d26-4248-b21a-9a69e6653202"	"Oasis"	"39ab1aed-75e0-4140-bd47-540276886b60"	"Champagne Supernova"	"3aec9038-5d26-4248-b21a-9a69e6653202"	"Oasis"	"39ab1aed-75e0-4140-bd47-540276886b60"
"2012-03-25T17:19:14"	"1332695954"	"Highway to Hell"	"0a8b6002-66ca-4de4-bae4-a8ecc69268ad"	"AC/DC"	"66c662b6-6e2f-4930-8610-912e24c63ed1"	"Highway to Hell"	"0a8b6002-66ca-4de4-bae4-a8ecc69268ad"	"AC/DC"	"66c662b6-6e2f-4930-8610-912e24c63ed1"
"2012-03-25T17:19:25"	"1332695965"	"Whores"	"362a80fe-8798-4f9f-a283-9f0be28bc861"	"Jane's Addiction"	""	"Whores"	"362a80fe-8798-4f9f-a283-9f0be28bc861"	"Jane's Addiction"	""
"2012-03-25T17:22:02"	"1332696122"	"The Unforgiven"	"93f199e9-d8c5-412e-b300-157e49106071"	"Metallica"	"65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab"	"The Unforgiven"	"93f199e9-d8c5-412e-b300-157e49106071"	"Metallica"	"65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab"
"2012-03-25T17:29:12"	"1332696552"	"Right Next Door To Hell"	"78a324b4-9b5c-4f8e-ae24-9a0240081eea"	"Guns N' Roses"	""	"Right Next Door To Hell"	"78a324b4-9b5c-4f8e-ae24-9a0240081eea"	"Guns N' Roses"	""
"2012-03-25T17:36:39"	"1332696999"	"My Wave"	"019606e4-dbfd-443b-85cc-a7e40dd78aab"	"Soundgarden"	"153c9281-268f-4cf3-8938-f5a4593e5df4"	"My Wave"	"019606e4-dbfd-443b-85cc-a7e40dd78aab"	"Soundgarden"	"153c9281-268f-4cf3-8938-f5a4593e5df4"
"2012-03-25T17:42:30"	"1332697350"	"Love Reign o'er Me"	"342d9d53-3417-41c4-a0b4-30f775896541"	"The Who"	"9fdaa16b-a6c4-4831-b87c-bc9ca8ce7eaa"	"Love Reign o'er Me"	"342d9d53-3417-41c4-a0b4-30f775896541"	"The Who"	"9fdaa16b-a6c4-4831-b87c-bc9ca8ce7eaa"
"2012-03-25T17:56:27"	"1332698187"	"Edge of Seventeen"	"9e7e4ed4-7e30-4118-833c-4cd9cafbfc57"	"Stevie Nicks"	"b7f2cca2-72c6-41fb-ae33-53370fc62fe7"	"Edge Of Seventeen"	""	"Nicks, Stevie"	""
"2012-03-25T18:10:43"	"1332699043"	"Going Mobile"	"476bdb9f-12a1-4387-acf7-0069d3d92136"	"The Who"	"9fdaa16b-a6c4-4831-b87c-bc9ca8ce7eaa"	"Going Mobile"	"476bdb9f-12a1-4387-acf7-0069d3d92136"	"The Who"	"9fdaa16b-a6c4-4831-b87c-bc9ca8ce7eaa"
"2012-03-25T18:14:59"	"1332699299"	"Another Brick in the Wall (Part 2)"	""	"Pink Floyd"	"83d91898-7763-47d7-b03b-b92132375c47"	"Another Brick in the Wall (Part 2)"	""	"Pink Floyd"	"83d91898-7763-47d7-b03b-b92132375c47"
"2012-03-26T02:48:36"	"1332730116"	"Master of Puppets"	"b2a8e70d-9bd0-479e-a0cc-5df4b6760a00"	"Metallica"	"65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab"	"Master of Puppets"	"b2a8e70d-9bd0-479e-a0cc-5df4b6760a00"	"Metallica"	"65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab"
"2012-05-14T03:24:14"	"1336965854"	"Hurdy Gurdy Man"	"00a7c49d-d7b5-4c71-bf6b-ff7c46f6bee1"	"Donovan"	"72d7d717-0837-4f2a-9641-d0f9fdd3acf7"	"Hurdy Gurdy Man"	"00a7c49d-d7b5-4c71-bf6b-ff7c46f6bee1"	"Donovan"	"72d7d717-0837-4f2a-9641-d0f9fdd3acf7"
"2012-05-14T03:26:30"	"1336965990"	"Revolution"	"e0289d8e-c8f1-41a5-b1b2-18ea3d93e83a"	"The Beatles"	"b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d"	"Revolution"	"e0289d8e-c8f1-41a5-b1b2-18ea3d93e83a"	"The Beatles"	"b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d"
